NAME,CATEGORY,Latitude ,Longitude,Address,Notes,,,
Saturday’s Surf NYC,Better Coffee Options,40.735876,-74.001936,"17 Perry St
New York, NY ",California coffee refuge ,,,
Cafe Integral,Better Coffee Options,40.720162,-73.999817,"135 Grand St, New York",Nicaraguan Coffee Master,,,
Kaffe 1668,Better Coffee Options,40.715180,-74.010992,"275 Greenwich St, New York",Delicious coffee variaties and sheeps,,,
Kaffe 1668,Better Coffee Options,40.720908,-74.009681,"401 Greenwich Street, New York ",Delicious coffee variaties and sheeps,,,
Kaffe 1668,Better Coffee Options,40.755279,-73.980044,"530 5th Avenue, New York",Delicious coffee variaties and sheeps,,,
Toby’s State ,Better Coffee Options,40.717888,-73.959267,"125 N 6th St, Brooklyn",,,,
Brooklyn Roasting Company,Better Coffee Options,40.704269,-73.986309,"25 Jay St, Brooklyn, NY",,,,
SweetLeaf,Better Coffee Options,40.719413,-73.962235,"135 Kent Avenue, Brooklyn",,,,
Propeller Coffee,Better Coffee Options,40.732738,-73.954449," 984 Manhattan Ave, Brooklyn",,,,
Gorilla Coffee,Better Coffee Options,40.679695,-73.977972,"97 5th Ave, Brooklyn, NY",,,,
Gorilla Coffee,Better Coffee Options,40.680818,-73.975692,472 Bergen Street,,,,
Intelligentsia Coffee,Better Coffee Options,40.751190,-73.987900,"1333 Broadway
New York,",Expert coffee brewers ,,,
Intelligentsia Coffee,Better Coffee Options,40.745962,-74.004993,"180 10th Ave.
New York",Expert coffee brewers ,,,
Little Collins,Better Coffee Options,40.759895,-73.969654," 667 Lexington Avenue, New York",,,,
Devoción ,Better Coffee Options,40.716064,-73.964717,"69 Grand St. Brooklyn, New York",Cafe 100% Colombiano,,,
Bourbon Coffee,Better Coffee Options,40.737217,-73.995563,"43 W 14th St, New York",,,,
Konditori,Better Coffee Options,40.687860,-73.989992,"114 Smith Street, Brooklyn, New York ",Swedish Delights/Gluten Free Vegan muffins,,,
Konditori,Better Coffee Options,40.677298,-73.980182,"186 Fifth Ave, Brooklyn, NY",Swedish Delights/Gluten Free Vegan muffins,,,
Konditori,Better Coffee Options,40.669738,-73.979485,"240 7th Ave, Brooklyn, New York ",Swedish Delights/Gluten Free Vegan muffins,,,
Konditori,Better Coffee Options,40.677092,-73.963864,"696 Washington Ave, Brooklyn, New York ",Swedish Delights/Gluten Free Vegan muffins,,,
Konditori,Better Coffee Options,40.717744,-73.957310,"167 N. 7th Street, Brooklyn, New York ",Swedish Delights/Gluten Free Vegan muffins,,,
Konditori,Better Coffee Options,40.721814,-73.988659,"182 Allen Street, New York, NY",Swedish Delights/Gluten Free Vegan muffins,,,
Konditori,Better Coffee Options,40.725076,-73.951774,"687 Manhattan Ave, Brooklyn, New York ",Swedish Delights/Gluten Free Vegan muffins,,,
