name,category,Latitude,longitude,Address,Hours,Handicap,Editor,Image,num of handi,num of cat
STARBUCKS,Coffee Shop,40.741851,-73.993412,"684 Avenue of the Americas  New York NY, 10010",,,,,,2
STARBUCKS,Coffee Shop,40.760405,-73.996972,"555 W. 42ND STREET  New York NY, 10036",,,,,,2
STARBUCKS,Coffee Shop,40.736692,-73.997164,"510 Sixth Avenue  New York NY, 10011",,,,,,2
STARBUCKS,Coffee Shop,40.745196,-73.998724,"255 Eighth Ave  New York NY, 10011",,,,,,2
STARBUCKS,Coffee Shop,40.753483,-73.998819,"450 W. 33rd Street  New York NY, 10001",,,,,,2
STARBUCKS,Coffee Shop,40.732949,-73.999885,"378 6th Avenue  New York NY, 10011",,,,,,2
STARBUCKS,Coffee Shop,40.737338,-74.00171,"93 Greenwich Avenue  New York NY, 10014",,,,,,2
STARBUCKS,Coffee Shop,40.756571,-74.003475,"655 W 34th St  New York NY, 10001",,,,,,2
STARBUCKS,Coffee Shop,40.741895,-74.00454,"76 9th Ave  New York NY, 10001",,,,,,2
STARBUCKS,Coffee Shop,40.702658,-74.011283,"3 New York Plaza  New York NY, 10003",,,,,,2
STARBUCKS,Coffee Shop,40.703725,-74.013753,"1 Battery Park Plaza  New York NY, 10004",,,,,,2
STARBUCKS,Coffee Shop,40.772464,-73.951218,"444 E. 80th St  New York NY, 10021",,,,,,2
Starbucks,Coffee Shop,40.73180767,-73.99531245,21 East 8th Street,Starbucks Hours,No,109,,2,2
Starbucks,Coffee Shop,40.72610015,-74.00559068,150 Varick Street,Starbucks Hours,No,109,,2,2
Starbucks,Coffee Shop,40.77402156,-73.95941377,1117 Lexington Ave.,Starbucks Hours,No,109,,2,2
Starbucks,Coffee Shop,40.75701406,-73.98241639,1166 Avenue of the Americas,Starbucks Hours,No,109,,2,2
STARBUCKS,Coffee Shop,40.769943,-73.954596,"1445 First Avenue  New York NY, 10021",,,,,,2
STARBUCKS,Coffee Shop,40.771248,-73.959678,"1290 Third Avenue  New York NY, 10021",,,,,,2
STARBUCKS,Coffee Shop,40.760255,-73.961344,"1102 1st Ave  New York NY, 10021",,,,,,2
STARBUCKS,Coffee Shop,40.712368,-74.007972,"233 Broadway  Manhattan NY, 10007",,No,101,,2,2
